userName,content,score
Khoirul Anam,Bagus,5
Sigit Harianto,Opsional,5
mario tehupeiory,Bagus sekali .. mantapp,5
darmawan saputra,Sempet bermasalah. Tapi sudah bisa lagi,4
Hendra Kurniawan,Sudah memasukkan user id otpnya lama ga keluar dan akhirnya akun di kunci,1
adith nasa,Tanpa banyak ini itu saat kita butuh dana mendesak.,4
Moch Muchlas,Lebih mudah sekarang,5
Hendro Sailendra,"Sangat praktis,bisa isi pulsa,bayar listrik",5
ROSAIR,Sulit sekali instal Octo ini yaa. Jika ada keluhan pakai premium call 14041 mahalnyaaa. Belum sampai selesai pulsa sadh habis... Tolong berikan alternative. Seperti perbankan lain....,1
Agus Rijanto,Fitur Octo mobile lebih praktis dan aman,5
Erna Cunay,mantul 👍👍👍👍,5
Andri Agung,Lebih mudah melakukan aktifitas perbankan,5
Sri Widiani,diperbaharui kok malah mengurangi fitur penting? masa sekrang gabisa telfon melalui internet (via aplikasi) harus melalui pulsa.. kok malah makin turun kualitasnya hahaha balikin ke versi lama aja mendingan lebih simple viturnya lebih lengkap versi baru kebanyakan gaya aja ga ada substance,1
sahrul alamsyah,"Aplikasi Octo mobile nya sudah banyak perubahan dan perbaikan, dan semoga kedepannya lebih baik lg",5
nurul Lyra,Lagu BB b,5
Rapi Pilem,oke banget,5
Agustinus Dwi Murdiyanto,Mantaapss,5
Hendry Pala'biran,Ok,5
Sudarjo Alamsyah,Apk yang sanggat membatu nasaba nya dalam transaksi🙏🙏🙏,5
Nanda Saputra,Tolong segera di perbaiki lagi suka bug apknua,1
Novi Gepeng,Mantep,5
Aris Coc,Simple dan bnyak bonus yg diberikan termasuk promo dan point,5
BaYu Sejati,transaksi mudah dan cepat banyak cashback cuma lewat aplikasi Octo Mobile,5
Jhon Nahak,Sangat membantu,5
Ade Alfiyan,aplikasi ga jelas scan ktp aja eror ga bisa,1
Black Wati,"Hp baru beli dibilang udah di root bagaimana ceritanya,uninstall aja deh mendingan",1
Mosis Barus,Mantap,5
Situmorang Morang,Trimakasi,5
Sulistya Dyahekawati,mantapppp,5
Novie_ Manizte,Kereen pelayanannya💯🙏,5
Taruna Cirebon,Mantap,5
LuckyAdam,Good,5
Muhamad Fahmi,Mantap jaya,5
Arif Nurhuda,"Bintang nol ada ga , gak bisa dipake,Habis diupdate tetep masih Berat, dihape saya udah ga kuat, forceclose sendiri. Gausah yang aneh aneh animasi simpel aja yang penting fungsi lancar, Tim IT nya jangan egois. Nek gak mampu jangan dipaksain",1
Ei Ling,Enak pokoknya,5
Sakti Indra Yudha,Masih error saja,1
Atam Go,Najis harus sisa saldo 50k aja... Dasar riba..,1
X TKJ 1_Azrul Dwi,Aplikasi berhenti terus GK bisa masuk,5
Sahid Sahid,Mantap,5
Opang Ismail,Bagus sekali,5
Santo Susanto,ok,4
Giant 90,parah saldo bayar kredit udah bayar malah ngebug ga terpotong,1
Harta Kurnia,Oke,5
adyzahra sinaga,Joss mantap,5
Alan,Tolong diperbaiki update terbaru aplikasi tidak bisa dibuka malah selalu ada notif hp ke root. Terimakasih,1
Alin 223,Sangat bagus tuk transaksi apapun cepat banget,5
marta eka,Aplikasi lancar jaya,5
Paulus Purba,Versi sama tp harus di update2. Kalau ga di update ga bsa buka. Dapat bintang 1 aja lah lu. Gara2 ga jelas,1
aldi rev,"Aplikasi lelet, sinyal kenceng hp kenceng buka aplikasi aja setengah mati banyakan loading",2
Firmansyah Setiawan,Jgn update trus,5
N Kurnia,Ok mantap teansaksi cepat tanpa ribet,5
Game Id,"Maaf saya sangat kecewa kenapa saat saya mau masuk tidak bisa dan ada tulisan maaf perangkat anda terdeteksi root,jailbreak, dan integritas sistem dirusak padahal sudah di servis dan di cek, padahal aplikasi m banking lainnya berjalan lancar hanya aplikasi ini saja.",1
Adika fratama,Ok sip,5
Suci Mulia,"Tolong segera di tindak, terkait semua keluhan yg ditulis costomer, karna saya pribadi sangat merasa di rugikan terkait keadaan aplikasi yg memprihatinkan ini.",1
Reynand_ Edsel,The best,5
Pambela Satriya Pamungkas,Bagus,5
Faizal Faizal,Ok,5
Mikado Yes,Sangat membantu,5
JHT lumbansoit,Jaringan lancar,5
Melissa Harun,"Parah... ngadain reward buka tabungan octoservers yg minimal 3jt malah msih kena fee, kata'y minimal kena fee klo tabungan 2juta, jdi gagal dpet reward!!!! Gk jelas n berbelit² snk'y, merasa di jebak, hati² aja yg mw ikutan program reward octoservers!!!!!",1
Nur Hasanah,Top,5
yoga prakosa,malah jailbreak,1
Andri SST MM,Aplikasi ga bisa di buka. Jadi error setelah di update. ga bisa masuh... payah.... ga bisa login,1
Khusni mubarok,Sangat bagus,4
Om Fhat,Transaksi cepat dan mudah digunakan.,5
Friska Napitupulu,Dari semua mbanking. Hanya Octo mobile yang sangat gampang transaksi,5
Mus Takim,Mantap 👍,5
zamroni mhd,Rex dan Cc yg masih sy gunakan sampai saat ini,5
Afriska Marciyano,Ok banget,5
Mohamad Jaelani,Aplikasi apa ini .. mendeteksi root .. haru instal ulang aplikasi biar bisa di buka .. aplikasi abal abal.. benerin lg tuh .. nasabah mau bayar tagihan jadi susah hadeee,1
Saifullah Aceh,"Memuaskan segala transaksi, maju terus......",5
Muhammad Fauzi,"Semakin di update semakin payah, Terdeteksi jailbreak Padahal hp pabrik kan",1
agus_maulana 46,Ok,5
oktorina amelia panggulu,👍,5
Ngadiyono Kohler,Excellent service,5
Bayu Nur Ridhatama,Burukk,1
Nini Nadila Apriani,"Seratus kali kayaknya coba daftar octo, tapi passcodenya ga kekirim ke hp. Bikin frustasi aja!!",1
Zulfikar Wijaya,Menunggu pass code ketika mau login ke akun rekening CIMB niaga sampai ber jam jam gak masuk2 notifikasinya.. Gimana ini kinerja nya,1
Sanudin Udin,Jadi mudah tranfer ke bank mana pun bank Octo mobile ia thebest,5
Febriane E.M. Lumantak,Terus tingkatkan service sehingga terus menjadi yang terbaik,5
fariz eriz harefa,KECEWAAAAAAA....... SUSAH X MAU UPGRADE.... APLIKASI PUSING X AKU AH,1
Rizki Kurniawan,enteng... so easy...,5
Kumpul Kyai,masak masukan aidi salah padahal sudah benar. ya ampun buruk banget. tolong segera diperbaiki terimakasih,1
Agam Nugraha Dwi Fahruzi,"Payah Sekarang Octo mobile sering bermasalah dalam transaksi, menghambat semua nya.",1
Rendi Saputra,Ditingkat kn lgi,5
Bagus Sasmita,"Aplikasi bagus, tp biaya2 nya banyak nabung di sini.",1
Koswara Koswara,Mantap,5
budhy ell,Hp masih original malah ada peringatan root/ jail break. Alhasil gak bisa login lagi kudu ganti Hp . Ya udah gak pake octo mobile lagi saat ini karena gak bisa login.,1
Simin suandi,"kok di update malah ga bisa di buka sih..tolong dong pihak CIMB perbaiki dulu.saya rasa bukan hanya saya yang mengalami hal ini,sangat mengganggu sekali..sama sekali ga bisa transaksi",5
Supri,Di tolak ngak jelas ...mending pake bank lain seperti mandiri livin mudah ngak ribet upgrade mudah dan cepat,1
Yansen Wiranata,"Aplikasi aman, nyaman, update dan cepat akses",5
Mochamad Gufron,Privasi nasabah tidak aman.. setiap payrol masuk atau ada saldo ngendap di rekening kita.. pasti ada telp dari asuransi dll..,1
M abdul Ronie,gimn ini gak bisa di pakai... tolong perbaikan lagi,1
yuli ana indriany,knp sih octo mobile minta update aplikasi terus??? mana makan memory lumayan banyak... mo bayar cc jd susah telat nanti kena denda 😭,5
Rony Jayani,Penggunaan baru transfer atau top up mendapatkan 25ribu minimal 50ribu baik cepat dan aman bersama octomobile,5
Nanda Maulana,Bagus sekali,5
Yusril Nur Annas,Mantaap laah,5
Iyan Islan,Ok,5
amatir herman_su,"Untuk aplikasi menurut saya cukup, tapi penyelesaian masalah masih sangat lama prosesnya khususnya setor tunai di atm cimb,saya sudah dua kali mengalami gagal setor tunai",3
sephtri jileggh92,terimakasih sudah mempermudah transaksi saya,5
Diah Firdha,"Top up ke ewallet udh dri tgl 29 blm masuk"" tpi saldo di ATM ke potong",1
Alfauzi Arya,"Parah bngt ga bisa masuk, bilang nya hp di root mulu, gimna si ini",1
tri astuti,Mantab,5
rudi faxon,Okeh binggits,5
rahma safitri,"Tolong kembalikan ke versi sebelumnya, untuk versi 3 ini malah tidak bisa di akses mobile bankingnya, di deteksi bahwa handphone kena root / jailbreak. Untuk HP tidak ada masalah karena ketika di bawa ke servis center tidak ada trouble di hardwarenya. Jadi sangat merepotkan nasabah. Tolong di perbaiki",1
AHMAD Roy,👌,5
Shan J,pinjaman tidak disetujui,1
Mondial School,cepat presisi,5
wahyu ratri,"Simple dan Usher friendly, mantep",4
Salma Aulia,"Bagus, coba tiap transaksi pulsa ,listrik dsb dpt cashback",5
Endang Herman,"Bagus, mudah, cepat",5
Bang dede Saputra,Lumayan membantu..,5
Rudy Kurniawan,mantabb👍,5
dhanie bram,"aplikasi selalu force close, hape bawaan pabrik terdeteksi root. Saya TIDAK butuh tampilan di percantik saya cuman butuh aplikasi yang smooth.",1
Imam Munandar,"Ko,,malah di bilang hp rootan. Gimana masuknya ini",1
Siswono,"Aplikasi sekarang sangat bagus dan respon cepat sekarang saya kasih bintang 5 ,sekarang kasih bintang satu soalnya setelah diupdate tidak bisa masuk hp kata diroot dll mhn diperbaiki aplikasi kecew banget",1
Rully Susanto,Aplikasi apaan sih Octo.........gagal terus login.....padahal versi android 9 hp murni polos.. Mengecewakan sekali.......terpaksa sudah pakai CIMB NIAGA,1
Teri Arifin,Sangat membatu bnget,5
kasri bogad,"Baik sekali, sangat terbantu",5
Adhie Muhammad,"Setelah di update ga bisa buka aplikasi.... Tulisannya suruh membersihkan riwayat....!!! Apanya yg dibersihkan klo tidak bisa log in....?!?!?!.... Parah Sekali aplikasi ini. Saya sudah mencoba log in,akses ditolak...!!! Maaf saya Uninstall aplikasi ini....!!!!!!!!!..cukup sudah menguras data saya...!!!",1
dessy shinta,Selalu mudah di gunakan,5
bang Noe,Sudah nunggu 1bln utk update ...setelah update ttp aja gk bisa dipake...Notif Jilbait root...aneh..jadi susah mau login,1
Nirwana Nirwana,Mohon di perbaiki lagi bahasanya jangan pas update langsung ganti ke bahasa inggris kalo gak ada yang ngerti bahasa inggris gimana kalo nanti salah pencet,1
Sulaiman Azhar,Ok,5
Hendra Wongso,Mantap,5
Lukman Hakim,Komplit dan mudah di gunakan,5
Arii Saptarii,Kallo bikin apk yanng bener kek gini,1
Gibran official,Mudah dalam bertransaksi. Praktis.,5
misa rohaji,"Alhamdulillah ketemu staff CIMB Aeon mall bsd,dbantu download Octo mobile memudahkan aktifitas tanpa kartu dengan mobile CIMB...sukses ya mas,😊👍👍👍👏",5
Abdul Rahman,"sebelum update device terdeteksi root/jailbreak.abis itu email cs center di tunggu update selanjutnya,setelah yg ditungggu tunggu di update malah force close. .apa mau mu CIMB????",1
Riko Lesmana,Cepat sekali transfer antar bank,5
Afri zon,Lebih mudah dan cepqt,5
Wagie Kenshin,Tranfer coba,5
Bjm Bjm,Transaksi jadi mudah,5
yusak andre,"Sering error, sdh diupdate. Tiap kali buka msh minta diupdate trs, padahal begitu di klik tdk ada update terbarunya. Tidak ada pilihan tanda x utk tolak update, jd hrs uninstall dl, br install ulang baru lg",2
Indra Jayasaja,"ok, cukup mudah pemakaiannya",5
Eko Efendi,Senang,5
Endah Tricahyani,Sangat bagus,5
Hadi Suprianto,Sangat bagus dan mantap,5
Ovo Payment,Terbaik,5
Arya Borneo,berapa lama perbaikan error jailbreak padahal hp normal aja. sulit konsumen sudah banyak yg komplain . namun tidak ada tindak lanjut.,3
Devi yusuf iskandar,Bagus dan bermanfaat,5
Adi Ardoyo,Pembayaran tagihan kartu kredit yang sangat mudah dan membantu saya dalam aplikasi ini.,4
Mochammad Ashari,Cepat...,5
Ali Mustofa,"Octo mobile saya setelah diupdate sekarang kalau mau transaksi koq loadingnya lama ya,nga kaya dulu cepet,tolong diperbaiki lagi ya......",5
riki_wowow 17,banyak kegagalan trf. status sukses uang ga masuk. konfirmasi ke CS jawaban selalu pengecekan estimasi 7 hari. mau makan angin selama 7 hari?,2
wawan kurniawan,"Sangat berguna ni dan mudah di pergunakan ,semoga bisa lebih bagus lagi",4
Gilang Fahrurozi,"Suatu instansi Perbankan yang sangat buruk, membuat suatu ketentuan tanpa adanya persetujuan dari customer. CIMB niaga secara langsung membohongi dan menipu customer.",1
Muhammad Aldian,Kaga bisa . Segala perangkat do root,1
Hendra Taryana,"SAYA DRIVER GOJEK MERASA TERBANTU DENGAN ADANYA M-BANKING INI,MEMUDAHKAN SEGALANYA..TERIMAKASIH",5
Linkga Karya energy,Good,5
agus suparno,Goood,5
Indra Iin,"Aplikasi mulai membaik, semangkin praktis tinggal dibikin lebih baik lagi.. 👍",5
Bagus Hands,Sangat puas memuaskan,4
Irpan Meruya,Ok,5
Dede Fauzy,Gak bisa buka aplikasi dengan notif hp nya memakai root atau apalah itu.. pny juga kagak yg model begituan.. di pembaharuan malah makin parah..,1
Angriawan Syaputra,Baru coba,5
Nicko Jokay,"Keren,,",5
Dandi Syahputra,"Penipuan, saya waktu itu buat rekening di prj, katanya bakal dapet cashback maksimal 30 hari kerja. Sekarang dah lebih dari 30 hari kerja nihil ga ada apa apa. Malah saldo saya berkurang Rp. 35.000,00. Sangat mengecewakan.",1
Mas Koko,"Bagus,Selama memakai belum pernah ada kendala",5
Risman Sci,Setelah update user id malah terblokir gabisa login lagi.,1
Indra Mayu,👍🏻,5
kienhock hock,Sangat bagus,5
Rohenti casmita,Cepat,5
indra laksono,"Habis di update malah tidak bisa di akses (peringatan device telah di root padahal masih standar pabrik) Bulan kemarin jg kya gini.. Klo aplikasi masih bug mending gak usah update ,,kalau gini trus saya yg jadi susah",1
Asep Gilang,Sering eror,2
JRO LANANG,Bayar internet iconnet kok gak bisa ya. Mohon disediakan menunya,5
Samsung A22,Bagus.. over all,5
Dede Rosita,Good,5
Rusdi Hasan,Mantaps 👍👍👍,5
Mulia Rifai Rangkuti,Mantep,5
Aienur Ridho,Aplikasi eror di buka kembali sendiri,1
Nurfatiya Hani,Aplikasi sudah cukup baik,5
rohmad hidayat,Mantap setelah update apakah akan di adakan octo call kembali yang bebas pulsa?,5
Zaenal Muttaqin H,Mantul sangat membantu👍👍👍👍🏻,5
Saripudin Bayu Saputra,Ok,5
Lilik Sudarmanto,Mantab,5
rudy gembol,Ok banget pakai octo mobil bisa bayar apa aja,5
Siti M,"Potongan Bulananya klo dibawah saldo rata2 lebih gede dari bank konvensional, dana mengendap bisa diambil klo tutup rekening ke cabang.. Daftar Online, Tutup rekening harus ke cabang, Mending Cari Bank Digital Lain... Gak Recomended",1
Sukarno karno,Oke. Bagus. Memudahkan. Untuk semua.,5
erwati saja,Cepat dan mudah dalam bertransaksi,5
Falah Nugraha Setiawan,penipuan duit 50k diembat reward gak diberikan,1
Iim Cradle,Parah kirim status terkirim ko ga masuk² saldo gw kmna octo,1
Trio Dahrul Alrasyid,Oke sip,5
a weenas,Aplikasi super ribetttttttttttttttttttt,1
Wawan Setiawan,Mantaap sekali,5
Tamrin Yhen22,Sering eror,2
Tekgie Tan,Baik,5
Ay Oa,Pengguna baru tidak bisa masuk. Otp tidak terkirim,2
indah fazarina,"lama bgt aplikasinya, berat bgt . makan waktu",2
rohmat kurnia,Ok..mntaap,5
Prasetyo Anggoro,Semakin hari ada kemajuan,5
Maulana Ahmad,"Knp eror terus, tampilan tdk biasanya dan susah masuk.",5
Didin Abdul muhyidin,Meringankan,5
Ada apa dengan cinta Cinta,Sangat bagus sekali,5
adi wijaya,Good,5
Widi Saputra,good,5
Asep Suryana,Lebih bagus lagi pelayanannnya,5
Om Ghebonk,"Biar bintang yang berbicara,lanjutkan kelancaran dan kemudahan untuk para nasabah",5
Yana Mulyana,Lemot bgt. Update lemot juga Jadi mnghambat kerjaan,2
Deni Ined,Lancar jaya,4
Nicolaas Loen,Prosesnya cepat sekali,5
Ujang Resta_Imam Bonjol,"Ini kenapa sih kok gak bisa di buka mulu perasaan malah ada muncul hp telah di root padahal hp masih bawaan ORI belum pernah di root, tolong segera di perbaiki masalahnya buat sekilas CIMB niaga masa terus muncul masalah ini",1
JOKO HERMAN,"Good, hanya sj penggunaan apk ini saat sinyal internet lemah tdk rekomended. Hrs di buat lbh ringan lg saat penggunaan ktika sinyal internet lemah. Klo msh sperti ini kualitas apk octo mobile, malah msh kalah jauh dr BCA mobile",4
Aditya eka Pratama,Oke,5
Sahidin adiarsa Maesa,Mantappll,5
ruslan nurfalah,Udah 2 minggu gk bisa di akses,3
vvopsieee,Passcode nya lama ga kekirim kirim,1
Ahmad Fadil,Sangat bagus,5
Vicky Kurniawan,Terlalu berat aplikasinya tidak seperti bank lain,2
Akunzen Starx,Ribet,1
haidir rizky,Kok gak jelas banget sih aplikasi ini hp gak root tapi ke baca root,1
Uum Kurniasih,Ok,5
Wikan Khan (Ayu),Kak.. Maaf ini octomobilenya kenapa ya? Setelah diupdate malah ga bisa dibuka 😭 Forceclose terus sama ada pemberitahuan di rootlah hpnya..... tolong dibantu ya kak saya jadi ga bisa ngapa ngapain loh🙏😭😭,4
Yogi Hendrawan,"Ga bisa login,,utang lu mau gw bayar kaga !!!",1
Eko Peno,Kenapa selalu ada notif hp andan telat di root/jailbreak ... Padahal hp setelan pabrik ... Kok jadi gak nyaman seperti ini si... Di ulang pun masih tetap sama,1
fadjri permadi,Aplikasi yg user friendly,5
rukmanification,Okay good job terus selalu👍👍👍👍,5
Amir Hamzah,lebih mudah bertransaksi,5
Slamet Sofianto,Nice,5
Wendy Manurung,"Saya mengalami kendala saat membuka aplikasi, terjadi force close terus menerus saat membuka aplikasi, saran nya dong",2
Nurrohman Aprianto,Sangat Baik,5
CAK ENTOZ,kenapa setelah update gak bisa masuk..error terus,1
Fikri Hidayat,"aman cepat dlm transaksi,,sngt mmbantu bngt",5
Ratu Wulan,Good,5
Ketik Santo,Tes dulu,4
Arlan Alexandria,Good sangat bagus dan cepat,5
Three Rio,Good aplikasi,5
Nurul Hasanah,"Mudah dan gampang dipahami, cuma minusnya kl log in sale username bukan pass jadi agak2 bingung krn bank2 lain oake password kl mw login",5
Jessica Silaen,Mantap,5
Faisal Alqodri,Oh no 😭,1
Lucky Advent,👍👍👍👍,5
Marwi Bowo,Okk tolong menu untuk pembuatan kartu credit d tampilkan mksh,5
Zihan Reyhan,Aplikasi sangat bagus dan topppp abiss,5
Dwi Novita,Nyebelin banget sh eror mulu,4
Ikhsan septiandy Septiandy,Very good,5
SHOLEH CHANNEL,Lumayan membantu,4
Wan Muhammad Rafi Rizal,Kenapa login harus punya pulsa dulu,1
agzalia aszahra,Goodjob,5
Christina Sujika,sangat membantu,4
ogah menan,mantab mudah gak pake repotd.,5
Zammal Aziz,Mantap,5
Andri Irawan,Aplikasi tidak bisa di buka,5
Novia Eka,Dikit2 minta update dikit2 update,1
Agus,Kusuka,5
Stella Septianti,Good,5
JOE .M,"Padahal Tagihan Okto Loan akan Autodebet PAYROLL gaji, knp msh ditolak sampai 2X dr pihak Bank...Kapok lah ngajuin lagi, mending ke BANK PINJOL.....",1
emsaf tv,Aplikasi parah habis d update malah gak bisa d buka,1
berita timun,"Aplikasi ribet, log in aja ribet... Nyesel gw nabung disini, dahlah uninstal aja😑",1
Anggi Asmara,Siip,5
Deasy Carolina,Terima Kasih OCTO,5
Yonne Yunia,Lebih mudah di di gunakannya,5
Yusuf Effendi,"Tingkat kan terus inovasi kemudahan dlm bertransaksi,sejauh ini aplikasi aman² aja karena ini adalah payrol dr perusahaan tempat saya kerja.",5
Ade Nosman,Pokoknya CIMB niaga top deh ahh,5
Arif Rahmanto,Aplikasi perbankan yang mudah dan luar biasa bermanfaat,5
WIG,"Setiap bulan selalu upadate, bikin kesel",1
achmad supiyan supiyan,Oke,5
aci angsa,Like banget... sangat membantu,5
Centauri 110,Buruk susah login tidak mendapatkan kode verifikasi passcode udah di ulang ulang malah anda terlalu sering,1
S7FE5G ANUGERAH,Terima kasih,5
wagimin 003,"Habis di perbarui malah gak bisa di pake padalah hp ori tp kl buka app tulisanya hp telah di root, ya Alllah naikin gaji IT cmb niaga ya AllAh biar kerjaya semangat",2
Rey Yosha,Mohon diperbaiki lagi apk ini,1
Sofyan Pradana,"Hallo, saya baru saja update aplikasi ini tetapi kenapa malah tidak bisa dibuka?, Keterangan di hp saya “OCTO Mobile terus berhenti”, tolong segera ditindaklanjuti 🙏 Ini kenapa aplikasi nya setiap habis update gak bisa dibuka sih, keterangan nya OCTO Mobile terus berhenti.! Tolonglah untuk segera dibenahi karena jujur sangat menghambat untuk para pengguna OCTO Mobile yang sedang ingin menggunaka aplikasi ini !",1
Joxils Uki,"Mau login tidak bisa masuk.. 2× minta kode otp ga masuk""..ga bisa di aplikasinya kalau tengah malem.",1
Endri Helga,"aplikasinya lumayan sulit min ok lah ga pa"" yang penting udah bisa digunain",5
JAPANI INDRAS,"Untuk wilayah atau daerah yang bisa mengajukan kartu kredit secara online di tambah lagi atau di perluas. Bila perlu seluruh wilayah Indonesia untuk bisa mengajukan kartu kredit secara online.jangan daerah tertentu aja yg bisa, itu namanya diskriminatif...",1
Budi Hermawan,Aplikasi yang sangat membantu 👍,5
rico situmeang,Mantap,5
Santika Damayanti,Saya mau login tapi pascode saya ga ada terus sms,1
Agung Nugroho,Completely,5
fadlan saputra,Knapa kok mesti harus uninstal dulu instal lgi baru bisa digunakan...knp kok di root,1
Amar Zaki,S ini siape Zdxxxx💹😒💹se,2
Erfan “シャンクス” Yusni,Good,5
Hery Ramadhan,Mau login aja susah bgt...???bkin emosi ja,2
Mas Jaka,aplikasi bank gak jelas kyc susah padahal hasil kamera bagus selfi bagus....gausah download.....setelah pengajuan di setujui masuk user name nunguin kode gak ada notif apk bank jelek,1
Bong Susanto,Sangat membantu transaksi,5
Gunadi Wibowo,"Untuk transaksi dengan OCTO Mobile, banyak memotong pulsa",2
Vella Lestari,Ribet bgt si,1
imam baihaki,Mantap,5
Redmi 07,Good,5
Ree zky Tegar,"Cepat, mudah, jarang trouble",5
"I Gede Erdi Kurnia Prasetya, S.S.","Aplikasi ruweeet, mau transaksi tanpa kartu gak bisa.",1
Aris Purwanto,Sangat bagus,5
Imron Hidayat,Geratis tanpa biaya jadi lebih hemat,5
Sidin Tupang,Mantap,5
Maulana Bahtiar,Cepat..,5
Erwandi Erwan,nyoba dulu..jika bener aplikasi bisa menghasilkan saya tambahkan bintang nya,1
debbi fregina,Kece,5
Rifky Rifky,Baik sekali,5
Athalia Aryanto,Semakin hebat cimb,5
Ricky Indra,Good,5
Fira Rahayu,Mohon di perbaiki fiturnya kak penampilan menu baik tapi masak transaksi di Batasin harianya dan saldo minimum harus 100.000 yang ada di rekening jadi makek atau ngisi pun gak nyaman kak dan saat di gunakan transfer gagal terus Mohon di perbaiki untuk menunya jangan di kasih minum saldo di rekening dan jangan dikasih batasan saat transfer mau tranfer pun biaya adminya banyak banget RP 6.500 kayak beli nasi pecel 1 posi aja . Buruk banget mohon di update kalo gini pengguna gak nyaman transfer,1
Gilang Ksp,Mau buka rekening lama bgt di angkat vc nya !! Sampe hampir 1jam,1
Toha Pratama,"Apa apaan ini aplikasi, klo bkin aplikasi yang jelas lah yang bner² berjalan, lah ini malah bkin pusing buat login aja susah malah di blokir aja teruss semuanya 🤬🤬🤬",1
Dodi Fauzi,Memberi kemudahan dalam bertransaksi.,5
Niar 66,Habis di update malah ga bs di pake. Ada peringatan HP di root. Maksudnya apa ya? Pdhl HP ga di apa2in. Masih setelan pabrik. Jadi aku uninstall..,3
amos printing,Okay... Better...,5
Asus Zenfon,Aplikasih'a octo mobile'a masih agak berat untuk masuk ke aplikasih'a suka lama tolong di tingkatin lgi aplikasih'a,3
Zulkarnaen Naen,Sangat membatu skli dengan adanya Octo mobile,5
Alex,Fitur simpel dan mudah digunakan,5
Dimas Aditiya,"Udah masukin data buat pemulihan id pas masukin id buat login malah di blokir, ada wa cimb tapi gak bisa bantu apa apa, telpon call senter juga belibet.. ribet banget",1
Ofi S,"Kenapa kok gini lagi ya kak gak bisa dibuka lagi aplikasinya, abis di-update lagi malah aplikasinya ngak bisa dibukak, udah kedua kalinya ngalamin kayak gini, tolong diperbaiki lagi ya kak ❗❗❗",1
Su Parno,Oke,5
Abdul Malik Karim,"Update baru malah makin buruk.. Pas mau buka ada notice ""hp anda diroot bla bla bla bla...."" Lalu forceclose direstart pun balik lg bgtu, dihapus data/cache/instal ulang baru bisa masa setiap mau buka harus reset data/instal ulang mulu? Padahal hp saya sama sekali ga diotak atik apalagi diroot.. Kecewa sm octo mobile",1
Citra Sekolah,"kalau di tawarin kartu kredit mending jgn mau,kenapa,nanti di kasih limit besar,kita pakai tu,nah telat 1 hari bayar denda nya melebihi pinjol.wah wah.....kapok dah.",1
Nunuk Supriyati,"Saya mau tanya knp uang saya di atm kok tiba"" bisa hilang segitu banyak nya Dan cara mengembalikannya himana",1
winarto hadi candra,busuk.gak bisa login,1
Reta Elysta,Kenapa gabisa dibuka sih ada tulisan pembaharuan tp udh diperbarui gabisa jdi takut,3
JayNimo Guestaronio,Mantap jos,5
Fikri Ana,Istimewaaaaa,5
Ahmad Bilal,Nice sangat membantu,5
Barbarian King,jos gandos,5
kholis gaming,GK BISA DIBUKA.FORCE CLOSE TERUSS.AKU MAU TRANSAKSI JADI GK BISA SAMA SEKALII,1
Ibnu Hasan,Sudah mulai membaik..,4
abil arka,Setelah d update tidak bisa d buka octo mobile bagaimana saya mau transaksi klo ga bisa d buka tolong perhatian ya terima kadij,2
Yudithdiandita Saraswati,Bagus,5
sintia kartika dewi,Tq,5
Patih Toto028,Good,5
Abdul Taupik,Fitur baru menurut saya makin ribet...,3
Warna Aja,Bagus banget app nya,5
Ahmad_ Fauzi,Mantap,5
Muhammad Ali AL,"Setuju banget dgn pendapat temen² yg agak kecewa dgn kinerja aplikasi OCTO Mobile. Mmg tampilannya bagus, lengkap. Namun sayang kinerjanya tidak responsif. Mau pakai HP Android Flagship sekalipun masih aja tetap nge-lag. Musti perbesar lagi bandwidth server dan hardware server ditinggikan lagi spec-nya biar bisa lebih responsif, dan perbaiki bug-bug agar kinerja aplikasi bagus. Terutama saat transisi dari satu halaman ke halaman lain terasa ada jeda lama terbuka, kurangi animasi transisinya.",3
Rio heryraider,"kenapa habis pembaruan muncul hp sudah di root,padahal sudah tes 3 hp kendalanya seperti inj,tolong di perbaiki tim cimb niaga",1
same mendai,Pa saya perlu bantuan saya baru saja salah transfer ke rekening CIMB NIAGA. Saya transfer melalui bang ewalet linkaja tolong kembalikan dana saya pa. Tolonga bantu saya pa saya punya bukti pengiriman totalnya 465.000. tolong respon secepatnya bapa atau ibu,3
gultom hanna,Oke,5
Anggriawan Prad,Makin update makin bingung. Fitur menambahkan rekening ke favorit dimana???,1
Hasan Nurdin,"Masa masuk apk selalu hp d root,hp baru beli Woy",1
Sesilia Novenda,Aplikasi semakin bagus dan memudahkan,5
Nenny Imaniati,Kenapa ada tampilan peringatan telah diroot ya kalo dibuka??,1
Sopian Hadi,Mantap,5
Asep kusnandar,"saking mudah nya pake ini, ingin nya kirim terus, sedang pemasukan gk ada,,, seandainya ada yang mau kirim uang padaku Alhamdulillah banget,,,",5
Shelina DW,"Kalau ada biaya mengendap, JANGAN DILIHATKAN DI NOMINAL!!! MEREPOTKAN, harus dikurang2in dulu kalau mau transaksi!",1
sayuga yuga,"Kenapa tidak bisa masuk , aneh padahal ada tulisan nya sudah dikirim ke email tapi tidak terkirim""",1
Hendrik Kurniawan,"Semoga bisa di tingkatkan lagi dalam segi responsivenya biar gk terlalu berat. Buat mobile banking terlalu berat menurut saya, karna semua orang ingin serba cepat.",3
Hikmah Titi,Aplikasi lemot parah,2
I Wayan Suhartanto,Sangat membantu,5
achmad yani,"Mantap, mudah dan aman bertransaksi",5
